Meat/Poultry;1997;4;6613,43988037109;93
Meat/Poultry;1996;11;5757,18002319336;201
Produce;1998;4;14290,6499023438;367
Beverages;1997;12;10876,6499919891;498
Condiments;1998;3;10773,2700195313;378
Dairy Products;1997;1;9066,39996337891;448
Condiments;1997;10;6565,91260528564;270
Confections;1996;11;3165,37997436523;267
Grains/Cereals;1997;3;3167,59997558594;174
Beverages;1996;11;17162,0601539612;332
Dairy Products;1997;7;12387,3499755859;374
Condiments;1996;9;1813,59997558594;110
Seafood;1997;6;3298,36747360229;144
Produce;1996;10;2491,16020202637;81
Dairy Products;1997;10;12869;422
Confections;1996;8;5006,77499103546;170
Grains/Cereals;1997;6;6345,84994506836;292
Beverages;1997;4;7074,34999084473;268
Seafood;1998;1;13798,2349386215;735
Beverages;1998;5;4056,69996452332;221
Produce;1997;3;3676,80004119873;122
Dairy Products;1998;5;628,119995117188;35
Confections;1997;9;6708,58999252319;371
Beverages;1998;2;34599,1500015259;834
Seafood;1998;4;9337,14241790771;630
Meat/Poultry;1997;1;6842,85014343262;219
Meat/Poultry;1996;8;3495,66008758545;111
Dairy Products;1997;4;5775,59985351563;231
Produce;1998;1;1526;58
Meat/Poultry;1998;2;21696,0499267578;302
Condiments;1996;12;1497,43992614746;82
Seafood;1997;3;3483,49998188019;175
Seafood;1997;9;9053,75495910645;630
Grains/Cereals;1998;4;5537,59997558594;297
Beverages;1996;8;4866,87990188599;347
Confections;1998;2;9526,18497467041;432
Produce;1996;7;3868,80003356934;156
Grains/Cereals;1998;1;12078,825012207;544
Meat/Poultry;1998;5;3686,8498840332;128
Grains/Cereals;1996;10;2460,56000137329;156
Condiments;1997;7;5519,83506774902;300
Beverages;1997;1;21904,1602554321;330
Confections;1997;6;2174,88496398926;107
Meat/Poultry;1997;12;12767,1619377136;259
Produce;1997;6;5823,70001220703;149
Confections;1997;12;8778,1489944458;471
Beverages;1998;3;27761,5749816895;925
Produce;1997;11;3125,71249389648;81
Grains/Cereals;1997;1;4547,79997253418;232
Condiments;1997;8;4220,02499389648;206
Beverages;1997;10;8374,89999389648;491
Condiments;1998;1;4737,89751815796;269
Dairy Products;1996;12;10952,6600570679;653
Beverages;1996;9;5088,39991760254;285
Dairy Products;1997;5;10435,5749778748;494
Meat/Poultry;1998;1;5149,47148132324;133
Produce;1996;12;3190,82005310059;195
Grains/Cereals;1998;5;4419,00499725342;136
Seafood;1997;8;8711,049949646;302
Confections;1998;1;11382,4314785004;483
Grains/Cereals;1998;2;4004,01247406006;211
Seafood;1997;2;2010,90000915527;147
Condiments;1997;2;6128,85992431641;393
Seafood;1996;10;5812,00001144409;310
Confections;1996;10;3528,59504318237;187
Meat/Poultry;1997;9;10945,9699668884;176
Grains/Cereals;1996;11;2506,70001983643;139
Confections;1997;3;3209,92498779297;265
Produce;1997;5;3099,5998840332;71
Grains/Cereals;1997;12;5242,35000610352;202
Confections;1997;11;5081,84647750854;255
Dairy Products;1998;3;13685,324962616;581
Meat/Poultry;1996;10;3651,3000793457;153
Meat/Poultry;1997;3;2998,47999572754;102
Seafood;1997;11;7881,74980926514;414
Dairy Products;1996;9;3857,6000213623;140
Produce;1998;3;13031,1999359131;351
Beverages;1997;7;7889,22499847412;327
Condiments;1997;11;3784,6750087738;172
Dairy Products;1997;2;5584,84002685547;248
Beverages;1996;12;9431,80000305176;305
Dairy Products;1997;8;6826,54992675781;256
Meat/Poultry;1998;4;18617,5597229004;405
Condiments;1996;10;4124,31982421875;183
Seafood;1997;5;6018,25991439819;401
Confections;1998;4;8886,70495605469;438
Condiments;1996;7;1878,19998931885;139
Produce;1997;2;2679,60000610352;103
Grains/Cereals;1997;9;5371,47497558594;262
Seafood;1996;7;2400,3250541687;187
Confections;1996;7;5775,15005493164;245
Produce;1997;8;4283,99993896484;119
Condiments;1997;5;5453,01995849609;300
Grains/Cereals;1996;8;270,600009918213;11
Meat/Poultry;1997;6;4923,49996948242;130
Confections;1998;3;22877,1797561646;880
Beverages;1998;1;27245,4000244141;622
Meat/Poultry;1997;2;7561,02025794983;380
Dairy Products;1996;10;7260,43001556396;367
Dairy Products;1997;3;9728,89999389648;311
Seafood;1998;3;9316,5449256897;669
Meat/Poultry;1996;7;2661,7200012207;76
Beverages;1997;8;5836,92502975464;334
Beverages;1996;7;3182,49996566772;272
Seafood;1997;10;6886,67746353149;431
Grains/Cereals;1997;10;3031;112
Grains/Cereals;1997;4;6544,39999389648;240
Condiments;1997;6;1855,27502441406;95
Grains/Cereals;1996;9;819,199995040894;32
Produce;1997;7;1650;55
Meat/Poultry;1997;11;1029;32
Beverages;1997;2;2845,84000396729;220
Confections;1997;5;7689,82501220703;291
Seafood;1996;12;3143,46007919312;288
Dairy Products;1998;1;18303,8500976563;622
Produce;1997;1;2704,92004394531;124
Meat/Poultry;1997;5;3395,50992584229;136
Dairy Products;1996;7;6838,34000396729;304
Condiments;1998;4;10087,0750579834;446
Beverages;1997;5;15422,2499771118;322
Beverages;1997;11;3851;248
Condiments;1997;9;3575,17752075195;222
Beverages;1996;10;8187,3600692749;301
Seafood;1997;7;7847,74998855591;366
Confections;1996;12;5872,65015411377;240
Produce;1996;9;1164,8000793457;32
Dairy Products;1997;11;12992,4749908447;344
Grains/Cereals;1998;3;3325,3999710083;189
Seafood;1996;9;3009,79995727539;177
Condiments;1997;3;1645,13499259949;150
Confections;1997;2;6978,87488555908;425
Grains/Cereals;1997;7;4457,79999923706;243
Grains/Cereals;1996;12;2193,99999237061;128
Confections;1996;9;6337,00006103516;248
Produce;1997;10;7017,39990234375;185
Confections;1997;8;7105,62986755371;335
Produce;1997;4;5893,85998535156;186
Meat/Poultry;1997;8;4888,23999023438;105
Dairy Products;1998;4;34679,8999481201;1005
Confections;1997;10;7800,69983673096;390
Dairy Products;1996;8;4761,69996643066;250
Condiments;1997;12;5824,19997406006;257
Seafood;1998;5;1178,24999046326;118
Meat/Poultry;1996;9;4291;100
Seafood;1997;12;5907,16745567322;274
Condiments;1998;5;885,899993896484;59
Beverages;1997;6;3485,42500305176;313
Produce;1998;2;1172,79998779297;37
Meat/Poultry;1998;3;4083,66008758545;92
Condiments;1996;11;6290,22504425049;294
Seafood;1997;4;4048,289894104;241
Dairy Products;1997;9;11420,3000183105;435
Confections;1998;5;2341,42302703857;179
Seafood;1996;8;3982,74005126953;257
Condiments;1996;8;2296,59997558594;154
Dairy Products;1997;12;9844,84991455078;406
Produce;1996;8;804,319999694824;22
Grains/Cereals;1997;8;5415,25;204
Confections;1997;1;9128,11498641968;623
Condiments;1997;4;5544,40002441406;259
Produce;1997;9;2827,27499771118;73
Confections;1997;7;6462,59759521484;210
Meat/Poultry;1997;7;4806,29999923706;179
Beverages;1997;9;5726,69999694824;174
Meat/Poultry;1996;12;8956,8000793457;309
Grains/Cereals;1996;7;1256,85999679565;83
Beverages;1998;4;22362,0500793457;1092
Produce;1997;12;12157,8999023438;315
Condiments;1998;2;6293,96746826172;289
Grains/Cereals;1997;2;4693,70008087158;216
Dairy Products;1996;11;7309,71995544434;372
Produce;1998;5;1137,38248634338;45
Dairy Products;1997;6;8455,79992675781;405
Produce;1996;11;2365,88003540039;63
Seafood;1997;1;1811,75000762939;154
Condiments;1997;1;5252,0749206543;271
Grains/Cereals;1997;11;5787,35000610352;310
Grains/Cereals;1997;5;2267,25;149
Beverages;1997;3;10636,8799209595;471
Confections;1997;4;11538,6125183105;394
Meat/Poultry;1997;10;14203,6361083984;378
Seafood;1998;2;11281,1223754883;564
Seafood;1996;11;1042,89999771118;67
Dairy Products;1998;2;10842;446
